State	School Name	City	District	Latitude	Longitude
Maharashtra	Bombay International School	Mumbai	Mumbai City	18.9568348	72.8086723
Maharashtra	DSB International School Mumbai	Mumbai	Mumbai City	18.9977232	72.8290387
Maharashtra	Garodia International Centre for Learning Mumbai	Mumbai	Mumbai Suburban	19.0748994	72.9060813
Maharashtra	JBCN International School Borivali	Mumbai	Mumbai Suburban	19.2481526	72.8546243
Maharashtra	R. A. Podar College of Commerce & Economics	Mumbai	Mumbai City	19.0246952	72.8502031
Maharashtra	Abhinav Vidyalaya English Medium High School	Pune	Pune	18.5094507	73.8296173
Maharashtra	Dr. Kalmadi Shamarao High School and Junior College	Pune	Pune	18.502039	73.826624
Maharashtra	Fergusson College, Junior Wing	Pune	Pune	18.525951	73.8399766
Maharashtra	Loyola High School & Junior College	Pune	Pune	18.537638	73.820358
Maharashtra	Modern College of Arts, Science and Commerce	Pune	Pune	18.5259971	73.845564
Maharashtra	Ness Wadia College of Commerce (Jr. Wing)	Pune	Pune	18.5320589	73.8803238
Maharashtra	PVG's Muktangan High School & Junior College	Pune	Pune	18.5104282	73.850897
Maharashtra	Sanskriti Group of Schools Pune	Pune	Pune	18.6031619	73.752535
Maharashtra	Sir Parashurambhau College (S. P. College)	Pune	Pune	18.507896	73.8501869
Maharashtra	St. Vincent's High School & Junior College	Pune	Pune	18.5127407	73.8754264
Maharashtra	Symbiosis College of Arts & Commerce	Pune	Pune	18.5223792	73.829853
Delhi (NCT)	Ahlcon International School	New Delhi	East Delhi	28.612142	77.2880475
Delhi (NCT)	Bal Bharati Public School	New Delhi	Central Delhi	28.6399755	77.1900774
Delhi (NCT)	Birla Vidya Niketan	New Delhi	South Delhi	28.5267084	77.2300991
Delhi (NCT)	Carmel Convent Schule	New Delhi	New Delhi	28.601247	77.1880811
Delhi (NCT)	Delhi Public School Vasant Kunj	New Delhi	South West Delhi	28.5376174	77.148103
Delhi (NCT)	Deutsche Botschaftsschule New Delhi	New Delhi	New Delhi	28.5942257	77.1803075
Delhi (NCT)	GD Goenka Public School Dwarka	New Delhi	South West Delhi	28.5889733	77.0575382
Delhi (NCT)	K. R. Mangalam World School G. K. II	New Delhi	South Delhi	28.53536	77.2419522
Delhi (NCT)	Modern School Vasant Vihar	New Delhi	South West Delhi	28.5432809	77.1238665
Delhi (NCT)	Sanskriti School	New Delhi	New Delhi	28.5894368	77.1772917
Delhi (NCT)	Springdales School, Pusa Road	New Delhi	Central Delhi	28.6443145	77.1965527
Tamil Nadu	Bala Vidya Mandir	Chennai	Chennai	13.0096407	80.2498835
Tamil Nadu	Don Bosco Matriculation Higher Secondary School	Chennai	Chennai	13.0704208	80.2550616
Tamil Nadu	Lady Andal School	Chennai	Chennai	13.0684632	80.2391583
Tamil Nadu	St. Bede's Anglo Indian Higher Secondary School	Chennai	Chennai	13.0348112	80.2785689
Tamil Nadu	GD School, Coimbatore	Coimbatore	Coimbatore	11.0001888	76.9655447
Tamil Nadu	Dr. G. S. Kalyanasundaram Memorial School	Kumbakonam	Kumbakonam	10.9366213	79.3487188
Karnataka	Delhi Public School Bangalore South	Bangalore	Bengaluru	12.8937691	77.5637823
Karnataka	Delhi Public School Bangalore East	Bangalore	Bengaluru	12.8841094	77.7255862
Karnataka	Delhi Public School Bangalore North	Bangalore	Bengaluru	13.0616488	77.5092535
Karnataka	Sri Kumaran Children's Home - CBSE	Bangalore	Bengaluru	12.8832798	77.5604712
Karnataka	KLES' International School Belagavi	Belagavi	Belagavi	15.8787013	74.4847288
Uttar Pradesh	Nehru World School	Ghaziabad	Ghaziabad	28.673904	77.4721923
Uttar Pradesh	Uttam School for Girls	Ghaziabad	Ghaziabad	28.671702	77.4614131
Uttar Pradesh	Delhi Public School Noida	Noida	Noida	28.5746332	77.3357011
Uttar Pradesh	Lotus Valley International School	Noida	Noida	28.538283	77.3449885
Uttar Pradesh	Mayoor School Noida	Noida	Noida	28.5432244	77.3363908
West Bengal	Birla High School	Kolkata	Kolkata	22.5431641	88.3546023
West Bengal	Don Bosco School, Park Circus	Kolkata	Kolkata	22.5442127	88.3711987
West Bengal	Modern High School for Girls	Kolkata	Kolkata	22.5349614	88.3645713
West Bengal	The Heritage School	Kolkata	Kolkata	22.5179117	88.4166971
Rajasthan	Mayo College	Ajmer	Ajmer	26.4460904	74.6520006
Rajasthan	Subodh Public School	Jaipur	Jaipur	26.8948528	75.8106728
Bihar	Litera Valley School	Patna	Patna	25.5952702	85.1799128
Chandigarh (UT)	Vivek High School	Chandigarh	Chandigarh	30.7453066	76.7486216
Gujarat	Navrachana International School Vadodara	Vadodara	Vadodara	22.2941089	73.1211685
Jharkhand	Delhi Public School Bokaro Steel City	Bokaro	Bokaro Steel City	23.6716585	86.1496484
Kerala	Christ Nagar Higher Secondary School	Trivandrum	Thiruvananthapuram	8.5142788	76.9596184
Madhya Pradesh	The Scindia School	Gwalior	Gwalior	26.2179713	78.1659909
Punjab	Paragon Senior Secondary School	Mohali	Sahibzada Ajit Singh Nagar (Mohali)	30.6935625	76.7186875
