Sr. No.	Name	Address	City	District	State	Latitude	Longitude
1	Videsh Bhawan, Mumbai	Videsh Bhawan, Block No- G, Plot NO-C-45, Bandra- Kurla Complex, Bandra (East)	Mumbai	Mumbai Suburban	Maharashtra	19.0636006	72.8692574
2	Sakinaka	403, 4th Floor, Sai Plaza, Andheri Kurla Road, Sakinaka, Andheri East	Mumbai	Mumbai Suburban	Maharashtra	19.1120959	72.867777
3	Espoir Academy	Eram Technologies Pvt Ltd, III Floor, INKEL Tower, Angamaly South	Angamaly	Ernakulam	Kerala	10.1812347	76.3706459
4	Mahendra Skills	Satya Arcade, 1st Floor, KBC-3, SECTOR-B, Kanpur Road Scheme, Alambagh	Lucknow	Lucknow	Uttar Pradesh	26.8006351	80.8963117
5	Rajasthan	J-8-A, Emi Campus, Jhalana Institutional Area	Jaipur	Jaipur	Rajasthan	26.8734224	75.8170786
6	Sikar	Government Industrial Training Institute Sikar, Near RIICO Industrial Area	Sikar	Sikar	Rajasthan	27.5976883	75.1601195
7	Tomcom Overseas Skill	ITI Mallepally Campus, Vijayagar Colony	Hyderabad	Hyderabad	Telangana	17.3975822	78.4549972
8	Government ITI College Karimnagar	Opposite To Ujjwala Park	Karimnagar	Karimnagar	Telangana	18.4385553	79.1288412
9	District Employment Exchange	ITI (Boys) Campus	Nizamabad	Nizamabad	Telangana	18.6637521	78.0917143
10	Patna	Sub-Regional Employment Exchange Niyojan Bhawan, 6th Floor, A Block	Patna	Patna	Bihar	25.6112191	85.1290313
11	Muzaffarpur	Sub-Regional Employment Exchange Joint Labor Building, Gsnnipur	Muzaffarpur	Muzaffarpur	Bihar	26.1050325	85.3839998
12	Darbhanga	Sub-Regional Employment Exchange Joint Labour Building, ITI Campus, Ram Nagar	Darbhanga	Darbhanga	Bihar	26.1132733	85.8909725
13	Gaya	Sub-Regional Employment Exchange Joint Labour Building, Kendui	Gaya	Gaya	Bihar	24.7594102	85.0086158
14	Vijayawada	OMCAP office Government ITI Campus	Vijayawada	NTR (Krishna)	Andhra Pradesh	16.5061743	80.6480153
15	Kadapa	M/s Synchro Serve Global Solutions Pvt Ltd, 8/1026-1, Almaspet	Kadapa	YSR Kadapa	Andhra Pradesh	14.4785795	78.82685
16	Gorakhpur	Learnet Skills - PMKK Gorakhpur, Mahayogi Gorakhnath University, Balapar Road	Gorakhpur	Gorakhpur	Uttar Pradesh	26.8342213	83.35589
17	Mohali	Regional Centre for Entrepreneurship Development, Phase 11	Mohali	SAS Nagar	Punjab	30.6825746	76.7440898
18	Chennai	Confederation of Indian Industry No. 73, Sardar Patel Rd, Guindy	Chennai	Chennai	Tamil Nadu	13.0110072	80.2249443
19	Nagaur	Government ITI Nagaur, Basni Road, Industrial Area	Nagaur	Nagaur	Rajasthan	27.1909295	73.7224713
20	Tamil Nadu	Commissionerate of Rehabilitation and Welfare of Non Resident Tamils, Chepauk	Chennai	Chennai	Tamil Nadu	13.0619092	80.2816096
21	International Migration Centre - Karnataka	4th Floor, Kalyana Suraksha Bhavana, Bannerughatta Road	Bengaluru	Bengaluru Urban	Karnataka	12.9358317	77.6009765
22	Visakhapatnam	C/O DEE, Govt ITI Campus, Marripalem	Visakhapatnam	Visakhapatnam	Andhra Pradesh	17.7365167	83.268002
23	Kakinada	C/o DEE, Govt ITI Campus	Kakinada	Kakinada	Andhra Pradesh	16.9478217	82.2420317
24	Odisha	AT - Pandra (Hi Tech Hospital Road), PO - Rasulgarh	Bhubaneswar	Khordha	Odisha	20.2932453	85.8721133
25	Quivan Skill Empowerment Pvt. Ltd., Kolkata	N.N Samaddar Road, Talbandha, PS: New Barrackpore	Kolkata	North 24 Parganas	West Bengal	22.7011082	88.4335082
26	Learnet Institute of Skill, Kowdiar	TC4/1407, Keston Road, Kowdiar	Thiruvananthapuram	Thiruvananthapuram	Kerala	8.5159074	76.9592638
27	Learnet Institute of Skills, Jalandhar	MSDC Jalandhar, Leather Complex, Kapurthala Road	Jalandhar	Jalandhar	Punjab	31.3312017	75.5251009
28	Datapro, Amritsar	1, Sant Vihar, Chabal Road, Fatahpur	Amritsar	Amritsar	Punjab	31.5973656	74.8384307
29	Centre for Research & Industrial Staff Performance, Bhopal	CRISP, Opp. Manas Bhavan, Shyamla Hills	Bhopal	Bhopal	Madhya Pradesh	23.2450551	77.3954083
30	West Champaran	District Employment Exchange, Hospital Road, Mitra Chowk, Bettiah	Bettiah	West Champaran	Bihar	26.795379	84.497181
31	Skill India International Center (SIIC), Varanasi	Inside ITI Karaundi Campus, Karaundi	Varanasi	Varanasi	Uttar Pradesh	25.2710223	82.9824651
32	SAS Nagar	Distt. Administrative Complex, Room No.453-463	Mohali	SAS Nagar	Punjab	30.6940542	76.6914395
33	Amritsar	Ground Floor, District Administration Complex, Near Kacheri Chowk	Amritsar	Amritsar	Punjab	31.64357	74.8565768
34	Jalandhar	District Administrative Complex, 3rd Floor, Room No.313, Ladowali Road	Jalandhar	Jalandhar	Punjab	31.3337576	75.5805112
35	Rupnagar	DC Complex, Ground Floor, Near Post Office	Ropar	Rupnagar	Punjab	30.9800895	76.5179547
36	Ludhiana	Opposite Sangeet Cinema, Partap Chowk	Ludhiana	Ludhiana	Punjab	30.8892315	75.863224
37	Hoshiarpur	Govt. ITI Complex, MSDC Building, Jalandhar Road	Hoshiarpur	Hoshiarpur	Punjab	31.5283326	75.8985206
38	Fatehgarh Sahib	DC Complex Ground Floor, Room No:119	Fatehgarh Sahib	Fatehgarh Sahib	Punjab	30.6871883	76.4068392
39	Patiala	Mini Sect. Patiala - Nabha Road	Patiala	Patiala	Punjab	30.3496672	76.3607203
40	Sangrur	District Administrative Complex, Opposite Sangrur Bus Stand	Sangrur	Sangrur	Punjab	30.2507788	75.8392329
41	Barnala	District Administrative Complex, 2nd Floor Near Kacheri Chowk	Barnala	Barnala	Punjab	30.3602544	75.5328545
42	GMR Varalakshmi Foundation Delhi	Near IGI Airport Gate No 15 Shahbad Mohammadpur	New Delhi	South West Delhi	Delhi	28.5634686	77.0751363
43	VFS Global Pvt. Ltd	Shivaji Stadium Metro Station, Mezzanine Level, Connaught Place	New Delhi	New Delhi	Delhi	28.6287699	77.2114121
44	Srikakulam	District Employment Office, Hospital Road, Prabhakar Nagar Colony	Srikakulam	Srikakulam	Andhra Pradesh	18.3134318	83.8958852
45	Kadapa	District Employment Exchange, O-Block, F-6, New collectorate complex	Kadapa	YSR Kadapa	Andhra Pradesh	14.4550265	78.8290413
46	Vizag	District Employment Exchange, Govt ITI Girls Campus, Kancharapalem	Visakhapatnam	Visakhapatnam	Andhra Pradesh	17.7362029	83.2684145
47	Chittoor	District Employment Office, Chittoor - Ponnai Rd, Sanjeev Nagar	Chittoor	Chittoor	Andhra Pradesh	13.2197531	79.1210066
48	Kakinada	District Employment Exchange, Govt ITI Campus	Kakinada	Kakinada	Andhra Pradesh	16.9813409	82.2391342
49	Assam	Katabari, DPS Road NH-37 Garchuk	Guwahati	Kamrup Metropolitan	Assam	26.1395896	91.6374002
50	SBS Nagar	DC Complex, 3rd Floor, Room No. 412, Chandigarh Road	Nawanshahr	Shahid Bhagat Singh Nagar	Punjab	31.1235409	76.1245113
51	Moga	DAC Complex, Chanab Jehlam Building, 3rd Floor, Floor No. 314	Moga	Moga	Punjab	30.8230114	75.1734471
52	Kapurthala	5th Floor, New District Administrative Complex, Kartarpur Road	Kapurthala	Kapurthala	Punjab	31.3859381	75.4023828
53	Bathinda	New Children Park, Civil Station Area	Bathinda	Bathinda	Punjab	30.309273	74.91005
54	Ferozepur	DC Complex, 2nd Floor, I-Block, Ferozepur Cantt.	Ferozepur	Ferozepur	Punjab	30.9306113	74.6241778
55	Shri Muktsar Sahib	District Administrative Complex, Above Sewa Kendra, 1st Floor	Sri Muktsar Sahib	Sri Muktsar Sahib	Punjab	30.4675976	74.5015856
56	Faridkot	Near Old Sandhu Palace, Red Cross Building, 1st Floor	Faridkot	Faridkot	Punjab	30.7273337	74.9011253
57	Pathankot	District Administrative Complex, Room No. 352, 2nd Floor, Malakpur	Pathankot	Pathankot	Punjab	32.2733352	75.6522066
58	Gurdaspur	District Administrative Complex, Room No. 217, B Block	Gurdaspur	Gurdaspur	Punjab	32.0419862	75.4053471
59	SSR Global	SSR Global Skills Park Hazrat Nizamuddin Colony Road Narela Shankari	Bhopal	Bhopal	Madhya Pradesh	23.2574243	77.4640807
60	Lakhisarai	BSDC Suryagarha Block Campus, Suryagarha	Suryagarha	Lakhisarai	Bihar	25.2423227	86.2219168
61	Sheikhpura	BSDC, SHEIKHPURA Block Campus, Near Fire Station	Sheikhpura	Sheikhpura	Bihar	25.1208994	85.8392738
62	Nawada	District Employment Exchange Nawada, Government ITI Campus, Gonawa	Nawada	Nawada	Bihar	24.9062633	85.5483427
63	Jehanabad	Joint Labour Building, District Employment Exchange, Old Sadar Block Campus	Jehanabad	Jehanabad	Bihar	25.2132649	84.9853322
64	Jamui	Joint Labour Building, District Employment Exchange Near Madh Nishedh Thana	Jamui	Jamui	Bihar	24.9296875	86.2301875
65	Samastipur	District Employment Exchange, Near Saryug College Mohanpur Road	Samastipur	Samastipur	Bihar	25.8348799	85.7614785
